Symbol,Company,      Price,Chg, Chg,Weight
RJF,Raymond James Financial Inc.,   115.33,-0.85,-0.73,0.067009
FE,FirstEnergy Corp.,   41.14,-0.19,-0.46,0.066781
FITB,Fifth Third Bancorp,   32.24,-0.71,-2.15,0.066525
ARE,Alexandria Real Estate Equities Inc.,   146.91,-3.67,-2.44,0.066363
LEN,Lennar Corporation Class A,   84.79,-2.57,-2.94,0.066309
AEE,Ameren Corporation,   86.28,-0.97,-1.11,0.066277
FRC,First Republic Bank,   118.11,-1.86,-1.55,0.065242
DTE,DTE Energy Company,   114.85,0.79,-0.69,0.065185
MLM,Martin Marietta Materials Inc.,   346.61,-6.66,-1.89,0.064999
CAH,Cardinal Health Inc.,   78.83,-0.65,-0.82,0.064461
ANSS,ANSYS Inc.,   242.48,-6.81,-2.73,0.064051
ACGL,Arch Capital Group Ltd.,   60.06,0.89,-1.50,0.064026
IR,Ingersoll Rand Inc.,   52.57,-0.75,-1.41,0.063691
PPL,PPL Corporation,   29.01,-0.07,-0.24,0.063656
LH,Laboratory Corporation of America Holdings,   233.44,-2.96,-1.25,0.063627
PWR,Quanta Services Inc.,   149.09,-1.73,-1.15,0.063613
HBAN,Huntington Bancshares Incorporated,   14.54,-0.36,-2.38,0.063609
EQR,Equity Residential,   61.47,-1.5,-2.38,0.06326
LYB,LyondellBasell Industries NV,   81.72,-1.75,-2.10,0.063219
HPE,Hewlett Packard Enterprise Co.,   16.17,-0.05,-0.28,0.062436
CTRA,Coterra Energy Inc.,   25.79,-0.42,-1.58,0.06198
PFG,Principal Financial Group Inc.,   89.05,-0.87,-0.97,0.061979
EXR,Extra Space Storage Inc.,   154.31,-2.54,-1.62,0.061897
MKC,McCormick & Company Incorporated,   84.14,0.09,-0.11,0.061749
RF,Regions Financial Corporation,   21.35,-0.64,-2.89,0.061592
CF,CF Industries Holdings Inc.,   100.91,-2.58,-2.49,0.061373
WAT,Waters Corporation,   334.93,-5.36,-1.58,0.060617
DOV,Dover Corporation,   138.90,-2.11,-1.50,0.059846
XYL,Xylem Inc.,   109.82,-2.22,-1.98,0.059541
EPAM,EPAM Systems Inc.,   338.50,-9.02,-2.60,0.05934
TDY,Teledyne Technologies Incorporated,   415.81,-7.72,-1.82,0.058379
MOH,Molina Healthcare Inc.,   333.26,-1.85,-0.55,0.058035
CHD,Church & Dwight Co. Inc.,   80.23,-0.16,-0.20,0.057953
CFG,Citizens Financial Group Inc.,   39.05,-0.44,-1.10,0.057802
MRO,Marathon Oil Corporation,   27.48,-1.04,-3.65,0.057517
CNP,CenterPoint Energy Inc.,   30.45,-0.01,-0.02,0.056584
TSN,Tyson Foods Inc. Class A,   63.90,-0.87,-1.35,0.056298
HOLX,Hologic Inc.,   74.40,-0.71,-0.95,0.056035
AES,AES Corporation,   27.97,-0.4,-1.41,0.055752
INVH,Invitation Homes Inc.,   31.48,-0.67,-2.08,0.055483
WAB,Westinghouse Air Brake Technologies Corporation,   99.67,-2.07,-2.03,0.055081
NTRS,Northern Trust Corporation,   87.83,-1.6,-1.79,0.054963
STE,STERIS Plc,   182.86,-2.62,-1.41,0.054959
K,Kellogg Company,   72.70,-0.65,-0.89,0.05495
AMCR,Amcor PLC,   12.10,-0.18,-1.43,0.054925
VRSN,VeriSign Inc.,   196.01,-1.28,-0.65,0.0548
EXPD,Expeditors International of Washington Inc.,   109.65,-2.18,-1.95,0.05444
CAG,Conagra Brands Inc.,   37.46,-0.8,-2.08,0.054173
