4/13/2020 16:00,4/13/2020 15:50,4/13/2020 15:45,4/13/2020 15:40,4/13/2020 15:35,4/13/2020 15:30,4/13/2020 15:25,4/13/2020 15:20,4/13/2020 15:05,4/13/2020 15:00,4/13/2020 14:50,4/13/2020 14:35,4/13/2020 14:25,4/13/2020 14:15,4/13/2020 14:10,4/13/2020 14:05,4/13/2020 13:55,4/13/2020 13:35,4/13/2020 13:30,4/13/2020 13:20,4/13/2020 13:15,4/13/2020 13:05,4/13/2020 13:00,4/13/2020 12:55,4/13/2020 12:50,4/13/2020 12:35,4/13/2020 12:30,4/13/2020 12:25,4/13/2020 12:20,4/13/2020 12:10,4/13/2020 12:05,4/13/2020 12:00,4/13/2020 11:50,4/13/2020 11:45,4/13/2020 11:40,4/13/2020 11:35,4/13/2020 11:25,4/13/2020 11:10,4/13/2020 10:55,4/13/2020 10:50,4/13/2020 10:45,4/13/2020 10:25,4/13/2020 10:15,4/13/2020 10:00,4/13/2020 9:45,4/13/2020 9:35
8.24,8.24,8.24,8.2423,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58
24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75
33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.68,9.68,9.68,9.68,9.68,9.68,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24
51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66
59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15,59.15
58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08,49.08
86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6
46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93,46.93
30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69,30.69
15.64,15.64,15.58,15.59,15.6,15.6133,15.6133,15.6133,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58
16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87
121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69,121.69
,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001,62.6001
165.81,165.81,165.655,165.96,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.68,165.71,165.7414,165.7414,165.7414,165.7414,165.7414,165.7414,165.7414,165.7414,165.7414,165.7414,165.7414,165.7414,165.775,165.9485,165.8,165.8,165.8,165.8,165.8,165.8,165.8,166.0728,166.0728,166.0728
163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9,163.9
41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33
5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39
7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261,70.1261
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23
75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82,75.82
49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27,49.27
174.55,174.55,174.55,174.55,174.435,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682,174.682
